Модуль,Название модуля,Тема,Название темы,Всего,Лекции,Практика,Самостоятельная работа,Контроль,Формат,Компетенции,Результат
1,Введение: зачем преподавателю ИИ,1.1,Изменение структуры преподавательского труда под влиянием ИИ-инструментов,1,1,0,0,0,видеолекция + краткий конспект,ПК-ИИ-1,"слушатель объясняет, какие регулярные действия преподавателя могут измениться при применении ИИ"
1,Введение: зачем преподавателю ИИ,1.2,"Мифы, страхи и завышенные ожидания: профессиональная позиция преподавателя",1,1,0,0,0,видеолекция + самопроверка,ПК-ИИ-1,"слушатель различает реалистичные возможности ИИ, ошибочные ожидания и профессиональные риски"
1,Введение: зачем преподавателю ИИ,1.3,Карта личных задач преподавателя для применения ИИ,2,0,2,0,0,практическая работа с шаблоном,ПК-ИИ-1,"слушатель формирует карту задач, где ИИ помогает, но не заменяет профессиональное решение"
1,Введение: зачем преподавателю ИИ,1.4,Рефлексия исходной цифровой позиции и выбор первых сценариев применения,1,0,0,1,0,самостоятельная работа,ПК-ИИ-1,слушатель фиксирует исходные ожидания и выбирает 1-2 безопасных сценария применения ИИ
1,Введение: зачем преподавателю ИИ,1.5,Первичная проверка понимания возможностей и ограничений ИИ,1,0,0,0,1,тест + проверка артефакта,ПК-ИИ-1,подтверждена базовая ориентация в возможностях и ограничениях ИИ
2,Как устроены нейронные сети на понятном уровне,2.1,Перцептрон Розенблатта как понятная модель нейросетевого решения,1,1,0,0,0,видеолекция + схема,ПК-ИИ-1,"слушатель объясняет назначение входов, весов и порогового решения"
2,Как устроены нейронные сети на понятном уровне,2.2,"Входы, веса, функция активации и обучение на примерах",1,1,0,0,0,видеолекция + разбор примера,ПК-ИИ-1,слушатель описывает обучение модели как изменение параметров на основе ошибок
2,Как устроены нейронные сети на понятном уровне,2.3,"От простых моделей к современным нейросетям: вероятность, ошибка и ограничения",1,1,0,0,0,видеолекция + самопроверка,ПК-ИИ-1,"слушатель объясняет, почему уверенный ответ модели может быть ошибочным"
2,Как устроены нейронные сети на понятном уровне,2.4,Объяснение работы нейросети для своей дисциплины,2,0,2,0,0,практическая разработка материала,ПК-ИИ-1,слушатель создает объяснение принципа ИИ на примере из собственной дисциплины
2,Как устроены нейронные сети на понятном уровне,2.5,Самостоятельная доработка объяснения без технического жаргона,2,0,0,2,0,самостоятельная работа,ПК-ИИ-1,слушатель адаптирует объяснение под аудиторию преподавателей или студентов
2,Как устроены нейронные сети на понятном уровне,2.6,Проверка понимания принципов нейросетевых моделей,1,0,0,0,1,тест + проверка артефакта,ПК-ИИ-1,подтверждено понимание базовой логики нейросетевой модели
3,Большие языковые модели и генеративный ИИ,3.1,"Языковая модель: токены, контекст и вероятностная генерация",1,1,0,0,0,видеолекция + конспект,ПК-ИИ-1,слушатель объясняет базовый принцип генерации текста
3,Большие языковые модели и генеративный ИИ,3.2,Сильные стороны и ограничения больших языковых моделей,1,1,0,0,0,видеолекция + примеры,"ПК-ИИ-1, ПК-ИИ-3","слушатель определяет задачи, для которых языковая модель полезна или ограниченно применима"
3,Большие языковые модели и генеративный ИИ,3.3,"Многомодальный ИИ: текст, изображение, аудио, видео и презентационные материалы",1,1,0,0,0,видеолекция + демонстрация,ПК-ИИ-8,слушатель различает основные многомодальные сценарии учебного применения
3,Большие языковые модели и генеративный ИИ,3.4,Сравнение ответов ИИ и выявление признаков недостоверности,2,0,2,0,0,практическая работа с ответами ИИ,ПК-ИИ-3,"слушатель сравнивает ответы и выделяет утверждения, требующие проверки"
3,Большие языковые модели и генеративный ИИ,3.5,Самостоятельная разметка проверяемых утверждений,2,0,0,2,0,самостоятельная работа,ПК-ИИ-3,слушатель оформляет таблицу проверки фактов и исправления ошибок
3,Большие языковые модели и генеративный ИИ,3.6,Контроль по галлюцинациям и проверке результатов генерации,1,0,0,0,1,тест + практическая проверка,"ПК-ИИ-1, ПК-ИИ-3",подтверждена способность распознавать и проверять потенциально недостоверные ответы
4,Постановка запросов как профессиональный навык,4.1,"Структура профессионального запроса: цель, роль, контекст и исходные данные",1,1,0,0,0,видеолекция + образец,ПК-ИИ-2,слушатель выделяет обязательные элементы профессионального запроса
4,Постановка запросов как профессиональный навык,4.2,"Ограничения, критерии качества и формат результата",1,1,0,0,0,видеолекция + разбор примеров,ПК-ИИ-2,слушатель задает параметры результата до генерации ответа
4,Постановка запросов как профессиональный навык,4.3,Итеративное улучшение запроса и работа с неудовлетворительным ответом,1,1,0,0,0,видеолекция + демонстрация итераций,ПК-ИИ-2,"слушатель объясняет, как уточнять запрос после слабого результата"
4,Постановка запросов как профессиональный навык,4.4,Переработка слабых запросов в профессиональные запросы,2,0,2,0,0,практическая работа,ПК-ИИ-2,слушатель демонстрирует переход от слабого запроса к сильному
4,Постановка запросов как профессиональный навык,4.5,Создание библиотеки запросов преподавателя,2,0,2,0,0,практическая разработка шаблонов,ПК-ИИ-2,слушатель создает набор запросов под регулярные профессиональные задачи
4,Постановка запросов как профессиональный навык,4.6,Самостоятельная доработка библиотеки запросов под собственную дисциплину,2,0,0,2,0,самостоятельная работа,ПК-ИИ-2,библиотека запросов адаптирована под дисциплину и рабочие задачи слушателя
4,Постановка запросов как профессиональный навык,4.7,Практический контроль по постановке запросов,1,0,0,0,1,практический тест,ПК-ИИ-2,подтверждена способность формулировать запросы по заданным ситуациям
5,ИИ в учебной и методической работе,5.1,"ИИ в подготовке учебных материалов: план занятия, конспект, примеры, задания",1,1,0,0,0,видеолекция + образцы,ПК-ИИ-4,"слушатель определяет учебные материалы, которые можно готовить с помощью ИИ при проверке преподавателем"
5,ИИ в учебной и методической работе,5.2,Критерии качества учебного материала и адаптация под уровень студентов,1,1,0,0,0,видеолекция + разбор типичных ошибок,ПК-ИИ-4,слушатель задает критерии качества для сгенерированного учебного материала
5,ИИ в учебной и методической работе,5.3,Задание с обязательным использованием ИИ студентами: структура и защита от поверхностной генерации,1,1,0,0,0,видеолекция + методическая модель,ПК-ИИ-5,слушатель объясняет отличие обязательного использования ИИ от разрешения пользоваться ИИ по желанию
5,ИИ в учебной и методической работе,5.4,Разработка фрагмента занятия с использованием ИИ,2,0,2,0,0,практическая разработка,ПК-ИИ-4,слушатель готовит фрагмент занятия и фиксирует вклад ИИ и собственные правки
5,ИИ в учебной и методической работе,5.5,Разработка задания с обязательным использованием ИИ студентами,2,0,2,0,0,практическая разработка задания,ПК-ИИ-5,"слушатель разрабатывает задание, требующее запроса, итераций, проверки фактов и объяснения вклада студента"
5,ИИ в учебной и методической работе,5.6,Самостоятельная доработка методического комплекта под дисциплину,2,0,0,2,0,самостоятельная работа,"ПК-ИИ-4, ПК-ИИ-5",фрагмент занятия и задание подготовлены для возможного включения в дисциплину или РПМ
5,ИИ в учебной и методической работе,5.7,Контроль качества учебного материала и задания с обязательным использованием ИИ,1,0,0,0,1,тест + экспертная проверка,"ПК-ИИ-4, ПК-ИИ-5",подтверждена готовность проектировать учебные материалы и задания с обязательным использованием ИИ
6,ИИ в научной и аналитической работе,6.1,ИИ как помощник в научном и аналитическом цикле,1,1,0,0,0,видеолекция + примеры,ПК-ИИ-6,слушатель определяет допустимые виды помощи ИИ в научной и аналитической работе
6,ИИ в научной и аналитической работе,6.2,"Источники, аргументация и академическая добросовестность",1,1,0,0,0,видеолекция + ситуационные примеры,ПК-ИИ-6,слушатель различает помощь в структуре и недопустимую подмену авторского текста
6,ИИ в научной и аналитической работе,6.3,"Структурирование научного текста, тезисов или аналитической записки",2,0,2,0,0,практическая работа,ПК-ИИ-6,слушатель создает структуру научного или аналитического текста
6,ИИ в научной и аналитической работе,6.4,Проверка полноты аргументации и логических разрывов,1,0,1,0,0,практический анализ,ПК-ИИ-6,слушатель выявляет слабые места аргументации и предлагает уточнения
6,ИИ в научной и аналитической работе,6.5,Самостоятельная подготовка декларации использования ИИ,2,0,0,2,0,самостоятельная работа,ПК-ИИ-6,"оформлена декларация: где применялся ИИ, что проверено вручную, что является авторским вкладом"
6,ИИ в научной и аналитической работе,6.6,Сценарный контроль допустимости применения ИИ в научной работе,1,0,0,0,1,сценарный тест,ПК-ИИ-6,подтверждено понимание добросовестного применения ИИ в научной и аналитической работе
7,"Документы, коммуникация и повседневная рутина",7.1,"ИИ для писем, отчетов, инструкций, регламентов и служебных текстов",1,1,0,0,0,видеолекция + примеры документов,ПК-ИИ-7,"слушатель определяет офисные задачи, где ИИ может быть применен без потери контроля над смыслом"
7,"Документы, коммуникация и повседневная рутина",7.2,"Многомодальные материалы в документах, презентациях и коммуникации",1,1,0,0,0,видеолекция + демонстрация,ПК-ИИ-8,слушатель определяет уместные сценарии визуальной и презентационной поддержки
7,"Документы, коммуникация и повседневная рутина",7.3,Переработка рабочего документа с помощью ИИ,2,0,2,0,0,практическая работа с документом,ПК-ИИ-7,слушатель улучшает документ и фиксирует принятые и отклоненные предложения ИИ
7,"Документы, коммуникация и повседневная рутина",7.4,Шаблон запроса для регулярной административной задачи,1,0,1,0,0,практическая разработка шаблона,ПК-ИИ-7,создан повторно применимый шаблон запроса для регулярной задачи
7,"Документы, коммуникация и повседневная рутина",7.5,"Самостоятельная проверка документа на смысл, полноту и конфиденциальность",2,0,0,2,0,самостоятельная работа,"ПК-ИИ-7, ПК-ИИ-8",слушатель проверяет документ после ИИ-обработки и исключает недопустимое раскрытие данных
7,"Документы, коммуникация и повседневная рутина",7.6,Контроль по применению ИИ в документах и профессиональной рутине,1,0,0,0,1,практический тест + проверка документа,"ПК-ИИ-7, ПК-ИИ-8",подтверждена способность использовать ИИ для профессиональной рутины с сохранением контроля человека
8,"Риски, этика, безопасность и итоговый проект",8.1,"Персональные данные, конфиденциальная информация и ограничения использования внешних сервисов",1,1,0,0,0,видеолекция + чек-лист рисков,ПК-ИИ-9,"слушатель определяет ситуации, где применение ИИ требует ограничения или согласования"
8,"Риски, этика, безопасность и итоговый проект",8.2,"Авторство, академическая добросовестность и прозрачность использования ИИ",1,1,0,0,0,видеолекция + ситуации,ПК-ИИ-9,слушатель объясняет требования к прозрачности использования ИИ преподавателем и студентом
8,"Риски, этика, безопасность и итоговый проект",8.3,Модель итогового проекта и связь с обновлением РПМ дисциплины,1,1,0,0,0,видеолекция + шаблон проекта,ПК-ИИ-10,слушатель понимает структуру итогового проекта и его связь с РПМ
8,"Риски, этика, безопасность и итоговый проект",8.4,Чек-лист безопасного применения ИИ в преподавательской задаче,1,0,1,0,0,практическая разработка чек-листа,ПК-ИИ-9,создан рабочий чек-лист допустимости применения ИИ
