record_type,module_id,module_order,module_title,module_hours,lesson_id,lesson_order,lesson_title,lesson_type,estimated_minutes,video_assets,material_assets,resource_types,assessment_id,assessment_type,assessment_title,grade_scheme,max_attempts,required,artifact_upload,quiz_question_target,competencies,progress_event,completion_rule,developer_notes
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L01,1,Навигация по курсу и логика образовательной платформы,mixed,25,M01-L01_video_01.mp4,M01-L01_conspect.pdf; M01-L01_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L02,2,Какие задачи преподавателя меняются при появлении ИИ-инструментов,video,35,M01-L02_video_01.mp4,M01-L02_conspect.pdf; M01-L02_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L03,3,"Страхи, мифы и профессиональная ответственность преподавателя",mixed,35,M01-L03_video_01.mp4,M01-L03_conspect.pdf; M01-L03_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L04,4,Первая проба: слабый и уточненный запрос,mixed,40,M01-L04_video_01.mp4,M01-L04_conspect.pdf; M01-L04_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L05,5,Карта личных задач преподавателя для применения ИИ,assignment_intro,30,M01-L05_video_01.mp4,M01-L05_conspect.pdf; M01-L05_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
assessment,M01,1,Введение: зачем преподавателю ИИ,6,,,,,,,M01-A01_instruction.pdf; M01-A01_rubric.pdf,document;pdf,M01-A01,assignment,Личная карта задач для применения ИИ,rubric_pass_fail,2,true,Документ или текстовая форма с перечнем 5-7 регулярных задач и примером улучшения одного запроса,,ПК-ИИ-1,AssessmentSubmission.accepted,accepted_submission,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M01,1,Введение: зачем преподавателю ИИ,6,,,,,,,M01-Q01_instruction.pdf; M01-Q01_rubric.pdf,document;pdf,M01-Q01,quiz,Концептуальный тест модуля 1,auto_points,2,true,,"15 вопросов: назначение ИИ в преподавательской работе, ответственность человека, границы применения",ПК-ИИ-1,AssessmentAttempt.graded_passed,score_percent >= 70,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L01,1,Перцептрон Розенблатта как понятная модель нейросети,mixed,40,M02-L01_video_01.mp4,M02-L01_conspect.pdf; M02-L01_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L02,2,"Входы, веса, порог и функция активации",video,40,M02-L02_video_01.mp4,M02-L02_conspect.pdf; M02-L02_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L03,3,"Обучение модели: ошибка, корректировка, повторение",mixed,45,M02-L03_video_01.mp4,M02-L03_conspect.pdf; M02-L03_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L04,4,От простых моделей к современным нейронным сетям,video,35,M02-L04_video_01.mp4,M02-L04_conspect.pdf; M02-L04_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L05,5,Как объяснять нейросеть студентам без технического жаргона,assignment_intro,40,M02-L05_video_01.mp4,M02-L05_conspect.pdf; M02-L05_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
assessment,M02,2,Как устроены нейронные сети на понятном уровне,8,,,,,,,M02-A01_instruction.pdf; M02-A01_rubric.pdf,document;pdf,M02-A01,assignment,Пояснение принципа работы простой нейросети,rubric_pass_fail,2,true,"Текст, схема или короткое видео с объяснением нейросети и примером из собственной дисциплины",,ПК-ИИ-1,AssessmentSubmission.accepted,accepted_submission,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M02,2,Как устроены нейронные сети на понятном уровне,8,,,,,,,M02-Q01_instruction.pdf; M02-Q01_rubric.pdf,document;pdf,M02-Q01,quiz,Тест по основам нейросетевых моделей,auto_points,2,true,,"20 вопросов: входы, веса, обучение, вероятностная ошибка, границы объяснения",ПК-ИИ-1,AssessmentAttempt.graded_passed,score_percent >= 70,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L01,1,Языковая модель: генерация вероятного продолжения текста,video,35,M03-L01_video_01.mp4,M03-L01_conspect.pdf; M03-L01_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L02,2,"Токены, контекст и влияние формулировки запроса",mixed,35,M03-L02_video_01.mp4,M03-L02_conspect.pdf; M03-L02_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L03,3,Сильные стороны и ограничения больших языковых моделей,video,35,M03-L03_video_01.mp4,M03-L03_conspect.pdf; M03-L03_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L04,4,Галлюцинации: уверенный текст без фактического основания,mixed,45,M03-L04_video_01.mp4,M03-L04_conspect.pdf; M03-L04_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L05,5,"Многомодальный ИИ: текст, изображение, аудио, видео, презентации",video,35,M03-L05_video_01.mp4,M03-L05_conspect.pdf; M03-L05_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
