record_type,module_id,module_order,module_title,module_hours,lesson_id,lesson_order,lesson_title,lesson_type,estimated_minutes,video_assets,material_assets,resource_types,assessment_id,assessment_type,assessment_title,grade_scheme,max_attempts,required,artifact_upload,quiz_question_target,competencies,progress_event,completion_rule,developer_notes
assessment,M01,1,Введение: зачем преподавателю ИИ,6,,,,,,,M01-A01_instruction.pdf; M01-A01_rubric.pdf,document;pdf,M01-A01,assignment,Личная карта задач для применения ИИ,rubric_pass_fail,2,true,Документ или текстовая форма с перечнем 5-7 регулярных задач и примером улучшения одного запроса,,ПК-ИИ-1,AssessmentSubmission.accepted,accepted_submission,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M01,1,Введение: зачем преподавателю ИИ,6,,,,,,,M01-Q01_instruction.pdf; M01-Q01_rubric.pdf,document;pdf,M01-Q01,quiz,Концептуальный тест модуля 1,auto_points,2,true,,"15 вопросов: назначение ИИ в преподавательской работе, ответственность человека, границы применения",ПК-ИИ-1,AssessmentAttempt.graded_passed,score_percent >= 70,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M02,2,Как устроены нейронные сети на понятном уровне,8,,,,,,,M02-A01_instruction.pdf; M02-A01_rubric.pdf,document;pdf,M02-A01,assignment,Пояснение принципа работы простой нейросети,rubric_pass_fail,2,true,"Текст, схема или короткое видео с объяснением нейросети и примером из собственной дисциплины",,ПК-ИИ-1,AssessmentSubmission.accepted,accepted_submission,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M02,2,Как устроены нейронные сети на понятном уровне,8,,,,,,,M02-Q01_instruction.pdf; M02-Q01_rubric.pdf,document;pdf,M02-Q01,quiz,Тест по основам нейросетевых моделей,auto_points,2,true,,"20 вопросов: входы, веса, обучение, вероятностная ошибка, границы объяснения",ПК-ИИ-1,AssessmentAttempt.graded_passed,score_percent >= 70,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M03,3,Большие языковые модели и генеративный ИИ,8,,,,,,,M03-A01_instruction.pdf; M03-A01_rubric.pdf,document;pdf,M03-A01,assignment,Разметка и проверка сгенерированного ответа,rubric_pass_fail,2,true,"Таблица проверяемых утверждений, способов проверки, исправлений и вывода о пригодности текста",,ПК-ИИ-3,AssessmentSubmission.accepted,accepted_submission,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M03,3,Большие языковые модели и генеративный ИИ,8,,,,,,,M03-Q01_instruction.pdf; M03-Q01_rubric.pdf,document;pdf,M03-Q01,quiz,Тест на распознавание галлюцинаций и проверяемых утверждений,auto_points,2,true,,"10-15 ситуаций и сгенерированных утверждений; отметить, что требует проверки и почему",ПК-ИИ-1;ПК-ИИ-3,AssessmentAttempt.graded_passed,score_percent >= 70,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M04,4,Постановка запросов как профессиональный навык,10,,,,,,,M04-A01_instruction.pdf; M04-A01_rubric.pdf,document;pdf,M04-A01,assignment,Личная библиотека запросов преподавателя,rubric_pass_fail,2,true,10-15 запросов под регулярные задачи и 3 журнала улучшения слабого запроса,,ПК-ИИ-2,AssessmentSubmission.accepted,accepted_submission,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M04,4,Постановка запросов как профессиональный навык,10,,,,,,,M04-Q01_instruction.pdf; M04-Q01_rubric.pdf,document;pdf,M04-Q01,quiz,Практический тест по постановке запросов,ai_assisted_rubric,2,true,,"5 профессиональных задач: написать запрос, указать критерии и обосновать структуру",ПК-ИИ-2,AssessmentAttempt.graded_passed,score_percent >= 70,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M05,5,ИИ в учебной и методической работе,10,,,,,,,M05-A01_instruction.pdf; M05-A01_rubric.pdf,document;pdf,M05-A01,assignment,Фрагмент занятия с использованием ИИ,rubric_pass_fail,2,true,Фрагмент занятия на 90 минут с журналом использования ИИ и правками преподавателя,,ПК-ИИ-4,AssessmentSubmission.accepted,accepted_submission,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
assessment,M05,5,ИИ в учебной и методической работе,10,,,,,,,M05-A02_instruction.pdf; M05-A02_rubric.pdf,document;pdf,M05-A02,assignment,Задание с обязательным использованием ИИ студентами,rubric_pass_fail,2,true,"Формулировка задания, процесс выполнения, журнал запросов, критерии оценивания и защитные механизмы",,ПК-ИИ-5,AssessmentSubmission.accepted,accepted_submission,"Создать AssessmentItem, GradeScheme, вопросы теста/рубрику. Официальный результат подтверждается человеком для открытых работ."
