№,Критерий приемки
1,"{'id': 'AC-01', 'criterion': 'Сумма часов по модулям равна 72 академическим часам.', 'verification': 'Автоматическая проверка таблицы module_hours.csv и YAML/JSON.'}"
2,"{'id': 'AC-02', 'criterion': 'Сумма часов по видам деятельности равна 72: лекции 21, практика 25, самостоятельная работа 17, контроль 9.', 'verification': 'Автоматическая проверка aggregation по thematic_plan.csv.'}"
3,"{'id': 'AC-03', 'criterion': 'Каждый модуль содержит темы, часы, формат работы, самостоятельную работу, практическое задание, форму контроля и компетенции.', 'verification': 'Проверка обязательных полей в YAML/JSON.'}"
4,"{'id': 'AC-04', 'criterion': 'Каждая тема связана минимум с одной компетенцией ПК-ИИ-1 — ПК-ИИ-10.', 'verification': 'Проверка поля competencies в thematic_plan.csv.'}"
5,"{'id': 'AC-05', 'criterion': 'Каждая компетенция ПК-ИИ-1 — ПК-ИИ-10 присутствует в учебно-тематическом плане и имеет контрольное подтверждение.', 'verification': 'Сверка competency_map.csv и control_forms.csv.'}"
6,"{'id': 'AC-06', 'criterion': 'Контрольные элементы поддерживают двухчастную модель: артефакт + тест/практическая проверка.', 'verification': 'Проверка control_forms.csv и module definitions.'}"
7,"{'id': 'AC-07', 'criterion': 'Учебно-тематический план может быть загружен в платформу как CourseTemplate с CourseModule, Lesson, CourseResource и AssessmentItem.', 'verification': 'Проверка platform_mapping.csv и backlog задач.'}"
8,"{'id': 'AC-08', 'criterion': 'Календарный график содержит основной вариант на 4 недели и интенсивный вариант на 2 недели.', 'verification': 'Проверка calendar_graph.csv.'}"
9,"{'id': 'AC-09', 'criterion': 'Правовая зона и согласия учитываются до доступа слушателя к курсу.', 'verification': 'Проверка раздела legal_requirements в JSON/YAML.'}"
10,"{'id': 'AC-10', 'criterion': 'Итоговый проект связан с реальной дисциплиной преподавателя и включает задания с обязательным использованием ИИ студентами.', 'verification': 'Проверка требований Module 8 и final_project requirements.'}"
