record_type,module_id,module_order,module_title,module_hours,lesson_id,lesson_order,lesson_title,lesson_type,estimated_minutes,video_assets,material_assets,resource_types,assessment_id,assessment_type,assessment_title,grade_scheme,max_attempts,required,artifact_upload,quiz_question_target,competencies,progress_event,completion_rule,developer_notes
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L01,1,Навигация по курсу и логика образовательной платформы,mixed,25,M01-L01_video_01.mp4,M01-L01_conspect.pdf; M01-L01_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L02,2,Какие задачи преподавателя меняются при появлении ИИ-инструментов,video,35,M01-L02_video_01.mp4,M01-L02_conspect.pdf; M01-L02_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L03,3,"Страхи, мифы и профессиональная ответственность преподавателя",mixed,35,M01-L03_video_01.mp4,M01-L03_conspect.pdf; M01-L03_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L04,4,Первая проба: слабый и уточненный запрос,mixed,40,M01-L04_video_01.mp4,M01-L04_conspect.pdf; M01-L04_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M01,1,Введение: зачем преподавателю ИИ,6,M01-L05,5,Карта личных задач преподавателя для применения ИИ,assignment_intro,30,M01-L05_video_01.mp4,M01-L05_conspect.pdf; M01-L05_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L01,1,Перцептрон Розенблатта как понятная модель нейросети,mixed,40,M02-L01_video_01.mp4,M02-L01_conspect.pdf; M02-L01_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L02,2,"Входы, веса, порог и функция активации",video,40,M02-L02_video_01.mp4,M02-L02_conspect.pdf; M02-L02_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L03,3,"Обучение модели: ошибка, корректировка, повторение",mixed,45,M02-L03_video_01.mp4,M02-L03_conspect.pdf; M02-L03_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L04,4,От простых моделей к современным нейронным сетям,video,35,M02-L04_video_01.mp4,M02-L04_conspect.pdf; M02-L04_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M02,2,Как устроены нейронные сети на понятном уровне,8,M02-L05,5,Как объяснять нейросеть студентам без технического жаргона,assignment_intro,40,M02-L05_video_01.mp4,M02-L05_conspect.pdf; M02-L05_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L01,1,Языковая модель: генерация вероятного продолжения текста,video,35,M03-L01_video_01.mp4,M03-L01_conspect.pdf; M03-L01_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L02,2,"Токены, контекст и влияние формулировки запроса",mixed,35,M03-L02_video_01.mp4,M03-L02_conspect.pdf; M03-L02_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L03,3,Сильные стороны и ограничения больших языковых моделей,video,35,M03-L03_video_01.mp4,M03-L03_conspect.pdf; M03-L03_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L04,4,Галлюцинации: уверенный текст без фактического основания,mixed,45,M03-L04_video_01.mp4,M03-L04_conspect.pdf; M03-L04_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L05,5,"Многомодальный ИИ: текст, изображение, аудио, видео, презентации",video,35,M03-L05_video_01.mp4,M03-L05_conspect.pdf; M03-L05_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M03,3,Большие языковые модели и генеративный ИИ,8,M03-L06,6,Практика проверки сгенерированного ответа,assignment_intro,40,M03-L06_video_01.mp4,M03-L06_conspect.pdf; M03-L06_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-1;ПК-ИИ-3;ПК-ИИ-8,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M04,4,Постановка запросов как профессиональный навык,10,M04-L01,1,Запрос как профессиональная постановка задачи,video,35,M04-L01_video_01.mp4,M04-L01_conspect.pdf; M04-L01_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-2;ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M04,4,Постановка запросов как профессиональный навык,10,M04-L02,2,"Роль, цель, контекст, исходные данные",mixed,40,M04-L02_video_01.mp4,M04-L02_conspect.pdf; M04-L02_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-2;ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
lesson,M04,4,Постановка запросов как профессиональный навык,10,M04-L03,3,"Ограничения, формат ответа и критерии качества",mixed,45,M04-L03_video_01.mp4,M04-L03_conspect.pdf; M04-L03_slides.pdf,video;pdf;presentation,,,,,,true,,,ПК-ИИ-2;ПК-ИИ-1,LessonProgress.completed,view_required_resources AND mark_completed,"Создать Lesson, CourseResource и StorageObject для видео/материалов. Видео не хранить в БД."
